,satisfaction,evaluation,projectCount,averageMonthlyHours,yearsAtCompany,workAccident,turnover,promotion,dept,salary
16555,0.81,0.07,1,103,5,1,1,1,3,1
16556,0.41,0.52,4,254,8,1,1,1,6,1
16557,0.02,0.36,6,280,10,1,0,1,4,2
16558,0.53,0.43,2,197,4,1,0,0,3,2
16559,0.36,0.59,3,169,8,1,0,0,4,1
16560,0.33,0.95,5,197,10,1,0,1,6,0
16561,0.93,0.72,7,271,4,1,0,0,5,0
16562,0.47,0.33,7,101,7,0,1,0,5,0
16563,0.06,0.93,3,99,10,1,1,0,6,1
16564,0.2,0.77,6,304,6,0,1,0,6,2
16565,0.07,0.19,5,270,8,0,0,0,7,2
16566,0.62,0.08,4,225,3,1,1,1,7,0
16567,0.91,0.51,1,236,3,0,0,1,5,1
16568,0.15,0.24,1,252,3,0,0,0,8,1
16569,0.07,0.39,2,158,9,1,0,1,2,1
16570,0.96,0.46,3,299,7,0,1,1,2,1
16571,0.5,0.41,1,262,10,1,1,1,2,0
16572,0.81,0.5,7,268,10,0,0,1,9,1
16573,0.8,0.39,7,239,9,0,0,0,5,2
16574,0.28,0.07,6,120,9,0,1,1,4,2
16575,0.13,0.85,7,278,3,0,0,0,0,0
16576,0.92,0.02,5,143,2,1,1,0,7,1
16577,0.21,0.73,4,265,3,0,1,1,3,0
16578,0.34,0.07,1,127,7,0,0,0,0,2
16579,0.54,0.62,2,272,6,0,1,1,1,0
16580,0.51,0.98,4,218,7,0,0,0,5,2
16581,0.53,0.68,5,186,9,1,0,0,8,2
16582,0.92,0.5,6,295,7,1,0,0,2,2
16583,0.58,0.32,6,182,7,0,1,0,2,0
16584,0.85,0.18,5,156,4,1,0,0,2,2
16585,0.49,0.77,6,260,3,1,1,0,1,2
16586,0.86,0.51,2,270,3,0,1,1,8,1
16587,0.21,0.72,3,265,10,1,0,1,2,1
16588,0.66,0.54,4,257,2,1,1,0,0,2
16589,0.24,0.16,4,101,6,1,0,1,1,2
16590,0.16,0.42,5,140,2,0,1,0,5,0
16591,0.42,0.41,6,182,5,1,1,0,0,0
16592,0.25,0.51,2,298,4,1,0,0,3,1
16593,0.52,0.89,4,242,3,0,0,1,6,1
16594,0.87,0.63,3,126,5,1,0,0,4,0
16595,0.31,0.83,5,234,9,0,0,0,9,0
16596,0.7,0.9,4,190,9,1,1,0,1,1
16597,0.7,0.79,5,219,4,0,1,0,4,1
16598,0.12,0.24,4,199,3,0,0,1,1,1
16599,0.28,0.75,4,267,8,0,1,0,5,2
16600,0.58,0.4,7,251,3,0,1,0,0,1
16601,0.95,0.15,4,308,9,0,1,0,8,2
16602,0.46,0.23,6,99,7,1,1,0,3,2
16603,0.24,0.48,2,208,8,0,1,1,6,0
16604,0.76,0.19,2,276,5,1,0,0,0,1
16605,0.15,0.34,7,132,4,1,1,1,5,0
16606,0.73,0.33,5,256,2,0,1,1,4,2
16607,0.42,0.5,1,149,6,0,0,1,0,2
16608,0.14,0.7,2,251,2,1,1,0,4,1
16609,0.55,0.65,2,223,7,0,1,1,8,2
16610,0.61,0.28,3,220,6,0,0,0,6,1
16611,0.39,0.65,1,165,8,1,0,1,5,2
16612,0.13,0.1,6,103,8,0,1,0,7,0
16613,0.23,0.94,4,141,8,0,0,1,0,1
16614,0.79,0.54,3,191,5,0,1,0,6,0
16615,0.65,0.82,7,195,6,0,1,1,0,0
16616,0.27,0.42,4,231,3,0,0,0,3,0
16617,0.06,0.23,4,181,6,1,0,0,2,2
16618,0.46,0.24,2,250,9,0,0,1,6,1
16619,0.27,0.96,2,112,2,1,1,0,1,2
16620,0.51,0.11,5,103,8,0,0,0,5,0
16621,0.35,0.11,2,153,8,1,0,1,2,2
16622,0.17,0.24,4,179,10,0,1,0,2,2
16623,0.23,0.07,5,279,7,1,0,0,4,1
16624,0.27,0.84,4,231,8,1,0,0,4,1
16625,0.58,0.83,5,212,4,1,0,0,5,0
16626,0.73,0.24,3,301,7,0,0,0,9,2
16627,0.48,0.21,6,282,7,0,1,1,8,2
16628,0.98,0.22,1,230,6,0,0,1,6,0
16629,0.2,0.0,4,210,3,0,0,1,7,1
16630,0.81,0.45,2,307,7,0,1,0,5,2
16631,0.03,0.93,1,216,3,1,0,1,2,2
16632,0.37,0.38,6,235,4,0,0,0,6,2
16633,0.96,0.28,6,258,10,1,0,0,3,2
16634,0.14,0.95,6,135,5,0,1,1,1,1
16635,0.55,0.46,6,259,6,1,0,0,6,2
16636,0.46,0.58,4,220,4,0,0,0,8,1
16637,0.39,0.75,6,142,10,1,1,1,1,0
16638,0.35,0.52,1,259,7,0,0,1,5,0
16639,0.51,0.74,4,248,9,1,0,1,2,2
16640,0.57,0.94,6,245,9,0,0,0,8,0
16641,0.17,0.34,3,221,10,1,0,0,5,2
16642,0.94,0.87,1,115,10,1,0,1,6,0
16643,0.8,0.37,6,261,6,0,1,0,5,2
16644,0.92,0.95,3,238,9,1,0,1,7,1
16645,0.84,0.64,1,215,4,0,1,0,8,0
16646,0.35,0.78,2,211,8,1,0,1,1,2
16647,0.84,0.73,2,252,10,0,0,0,9,0
16648,0.32,0.8,7,127,9,1,0,0,2,0
16649,0.94,0.61,4,126,3,1,0,1,7,0
16650,0.98,0.69,4,194,9,1,0,0,5,2
16651,0.01,0.26,3,104,5,1,0,1,5,1
16652,0.03,0.48,3,285,3,1,1,0,6,1
16653,0.29,0.23,7,209,6,1,0,1,1,1
16654,0.56,0.14,5,172,2,1,1,0,5,0
16655,0.95,0.34,1,225,4,0,1,1,1,0
16656,0.34,0.83,4,164,4,1,1,0,8,0
16657,0.82,0.22,7,257,7,1,1,1,4,2
16658,0.89,0.58,3,283,6,1,1,0,7,2
16659,0.85,0.1,6,126,6,0,0,0,9,0
16660,0.93,0.25,7,284,3,0,1,1,5,0
16661,0.49,0.32,7,242,3,0,0,1,7,2
16662,0.28,0.29,4,239,4,0,0,0,4,2
16663,0.97,0.86,3,265,4,1,1,0,1,2
16664,0.56,0.76,7,204,6,1,0,1,1,0
16665,0.59,0.01,6,283,6,0,0,0,1,2
16666,0.49,0.91,1,148,7,1,0,1,3,0
16667,0.61,0.04,3,204,5,1,0,1,8,1
16668,0.8,0.91,1,207,3,0,1,0,8,0
16669,0.29,0.57,3,160,5,1,1,1,6,0
16670,0.57,0.7,3,103,3,1,1,0,8,0
16671,0.95,0.36,3,112,7,0,1,0,3,2
16672,0.53,0.31,6,191,5,1,0,1,6,2
16673,0.45,0.73,3,249,10,0,0,0,2,2
16674,0.88,0.51,4,159,2,0,0,1,6,2
16675,0.03,0.42,3,177,7,0,1,0,3,2
16676,0.21,0.7,1,288,3,1,1,1,2,0
16677,0.46,0.6,1,155,4,1,0,1,6,0
16678,0.35,0.56,4,130,2,0,1,0,7,0
16679,0.18,0.77,7,272,3,0,1,0,5,2
16680,0.57,0.27,5,209,2,0,0,0,3,2
16681,0.25,0.8,4,122,10,0,0,0,6,0
16682,0.84,0.49,4,147,9,0,1,1,8,0
16683,0.86,0.96,4,108,2,0,0,1,0,0
16684,0.36,0.5,7,225,10,0,1,1,2,0
16685,0.53,0.63,7,265,8,1,0,0,8,0
16686,0.85,0.4,2,290,9,1,0,0,5,1
16687,0.67,0.7,3,186,9,1,0,0,4,0
16688,0.26,0.98,7,286,10,1,0,0,4,0
16689,0.32,0.2,6,206,9,1,1,1,3,2
16690,0.74,0.54,4,142,4,0,0,0,1,1
16691,0.78,0.74,3,303,8,1,1,1,4,0
16692,0.77,0.71,1,222,5,1,0,0,8,1
16693,0.59,0.3,6,282,3,1,0,1,3,2
16694,0.43,0.89,1,243,7,1,1,0,2,1
16695,0.88,0.7,7,162,8,1,0,0,8,2
16696,0.31,0.34,2,250,6,0,1,1,3,0
16697,0.5,0.77,3,179,3,1,0,1,7,2
16698,0.31,0.3,4,270,8,0,1,1,3,2
16699,0.16,0.3,1,204,6,0,0,0,7,1
16700,0.16,0.19,3,162,2,1,0,1,7,1
16701,0.67,0.34,4,267,9,1,1,0,5,1
16702,0.43,0.93,4,206,10,0,0,1,9,0
16703,0.55,0.04,1,280,9,1,0,0,8,0
16704,0.58,0.53,5,153,8,1,1,0,6,1
16705,0.86,0.62,4,103,7,1,0,0,4,0
16706,0.89,0.65,1,150,9,0,0,0,0,1
16707,0.44,0.23,7,141,6,0,1,0,3,1
16708,0.85,0.96,2,297,8,0,0,0,3,1
16709,0.03,0.7,7,215,7,0,0,0,1,1
16710,0.96,0.89,7,216,9,0,0,0,5,2
16711,0.07,0.33,2,204,5,0,0,1,3,2
16712,0.39,0.05,6,188,9,0,1,1,0,0
16713,0.49,0.06,6,269,4,0,0,1,0,2
16714,0.17,0.18,2,199,5,0,0,0,2,2
16715,0.42,0.31,4,200,10,0,0,0,2,2
16716,0.29,0.56,2,184,6,1,0,0,1,1
16717,0.62,0.42,3,304,4,0,1,0,0,1
16718,0.12,0.9,5,293,7,1,0,1,2,1
16719,0.49,0.99,6,133,2,1,0,1,5,2
16720,0.2,0.5,4,115,5,0,0,0,3,2
16721,0.78,0.05,7,143,10,0,0,0,7,2
16722,0.43,1.0,5,124,10,1,1,0,9,1
16723,0.43,0.12,4,278,3,0,1,0,2,0
16724,0.38,0.14,2,169,3,0,0,1,0,0
16725,0.53,0.84,7,308,3,0,0,0,2,1
16726,0.46,0.34,7,108,7,1,1,1,6,1
16727,0.75,0.73,6,135,9,1,1,1,5,0
16728,0.29,0.79,3,284,8,0,1,0,3,0
16729,0.27,0.31,6,162,8,0,0,0,9,1
16730,0.19,0.17,4,113,10,0,0,0,6,1
16731,0.59,0.37,2,171,3,0,1,0,9,0
16732,0.84,0.46,2,221,7,1,0,0,8,2
16733,0.19,0.53,4,298,3,1,0,0,1,2
16734,0.81,0.63,3,103,9,0,0,1,9,1
16735,0.45,0.1,1,264,5,0,1,1,9,1
16736,0.34,0.97,3,160,7,1,1,1,3,1
16737,0.77,0.57,2,257,7,0,0,1,2,1
16738,0.37,0.36,3,125,4,1,0,1,2,2
16739,0.87,0.66,3,163,6,0,1,0,8,0
16740,0.97,0.91,7,301,3,0,1,1,5,1
16741,0.12,0.71,2,140,10,1,1,0,9,1
16742,0.26,0.51,4,103,8,1,1,1,7,1
16743,0.44,0.61,2,126,10,1,0,0,9,1
16744,0.62,0.09,1,222,4,1,0,0,1,0
16745,0.07,0.54,7,259,3,0,0,0,5,2
16746,0.02,0.54,7,221,10,0,1,0,2,2
16747,0.16,0.84,7,138,6,1,1,1,0,1
16748,0.15,0.25,6,117,4,0,0,0,4,0
16749,0.09,0.55,4,161,8,1,0,0,6,0
16750,0.14,0.21,1,302,2,1,1,1,7,2
16751,0.73,0.42,6,195,9,1,0,0,1,1
16752,0.89,0.7,3,237,2,1,0,1,0,1
16753,0.82,0.03,5,227,10,0,0,0,3,1
16754,0.74,0.32,5,281,6,0,1,1,5,2
16755,0.37,0.85,7,275,4,1,1,1,0,1
16756,0.0,0.9,6,99,4,1,1,0,6,2
16757,0.5,0.16,1,202,3,1,0,0,5,2
16758,0.62,0.15,3,104,4,0,1,0,2,2
16759,0.71,0.08,2,255,6,1,0,1,9,0
16760,0.21,0.2,5,310,4,0,1,0,3,0
16761,0.12,0.13,7,127,2,0,1,0,1,0
16762,0.54,0.46,2,208,10,0,1,0,7,2
16763,0.8,0.13,4,168,4,0,1,1,0,1
16764,0.84,0.13,7,282,9,0,0,0,0,1
16765,0.19,0.24,5,120,8,0,0,0,7,0
16766,0.19,0.7,2,301,2,1,1,0,0,1
16767,0.42,0.64,5,159,5,1,1,1,3,1
16768,0.46,0.38,3,208,7,1,1,0,3,2
16769,0.38,0.96,1,276,4,0,1,1,7,2
16770,0.15,0.8,1,211,4,0,0,1,4,2
16771,0.43,0.44,7,208,5,0,1,0,2,0
16772,0.79,0.76,2,207,2,1,1,1,7,1
16773,0.7,0.32,6,292,6,1,1,1,4,1
16774,0.64,0.48,6,133,10,0,0,0,3,2
16775,0.88,0.31,3,298,5,1,0,1,4,1
16776,0.24,0.69,6,174,4,0,1,1,7,1
16777,0.76,0.21,2,145,6,0,1,1,1,1
16778,0.32,0.4,1,125,3,0,0,0,9,1
16779,0.19,0.36,4,249,5,1,1,1,2,1
16780,0.14,0.44,3,139,6,0,0,1,6,2
16781,0.03,0.54,2,112,8,1,1,0,5,2
16782,0.81,0.9,3,300,4,1,0,0,8,2
16783,0.92,0.02,7,120,5,0,0,1,9,1
16784,0.71,0.22,3,277,3,1,1,1,2,1
16785,0.2,0.09,6,186,7,1,1,1,1,0
16786,0.18,0.95,5,192,6,1,1,1,6,0
16787,0.01,0.32,7,117,2,1,1,0,4,0
16788,0.36,0.63,2,131,6,0,0,0,4,2
16789,0.13,0.9,2,222,8,1,0,1,9,2
16790,0.02,0.81,6,308,10,1,1,0,4,1
16791,0.73,0.25,6,104,7,0,0,0,3,0
16792,0.1,0.29,6,142,4,0,1,0,5,2
16793,0.64,0.02,6,111,7,0,1,0,2,0
16794,0.8,0.86,2,284,7,0,0,1,8,1
16795,0.16,0.91,6,116,6,1,0,0,5,2
16796,0.59,0.65,1,257,5,1,1,1,0,0
16797,0.91,0.04,3,281,9,1,0,1,5,1
16798,0.92,0.59,4,216,7,1,0,0,7,2
16799,0.2,0.06,5,132,5,0,1,1,2,1
16800,0.37,0.09,1,118,10,1,0,1,3,2
16801,0.98,0.4,3,167,10,0,1,0,4,2
16802,0.47,0.54,7,223,6,1,1,1,3,0
16803,0.53,0.31,2,207,5,1,0,0,6,0
16804,0.16,0.14,6,168,5,0,1,0,2,0
16805,0.67,0.17,1,155,9,1,0,0,2,0
16806,0.26,0.76,7,233,2,0,0,0,9,2
16807,0.14,0.29,7,215,3,0,0,1,4,1
16808,0.69,0.0,6,267,3,0,0,0,2,2
16809,0.84,0.27,3,119,5,0,1,1,5,1
16810,0.98,0.69,3,192,9,0,0,0,7,2
16811,0.68,0.42,2,98,5,0,0,1,4,0
16812,0.02,0.03,3,192,2,0,1,0,1,2
16813,0.81,0.28,3,190,10,1,0,1,3,2
16814,0.6,0.39,1,269,6,0,0,0,5,2
16815,0.99,0.88,1,227,7,0,1,1,0,0
16816,0.03,0.65,4,129,9,1,1,1,4,1
16817,0.27,0.41,3,204,4,1,0,0,3,2
16818,0.2,0.27,5,255,7,1,1,1,2,0
16819,0.78,0.63,4,239,3,0,0,1,4,0
16820,0.89,0.93,2,135,9,0,0,0,6,1
16821,0.3,0.2,1,149,10,0,1,0,7,0
16822,0.44,0.08,5,199,2,1,1,1,2,1
16823,0.75,0.82,4,266,4,0,1,1,3,0
16824,0.98,0.21,4,151,10,1,1,0,5,1
16825,0.61,0.37,5,263,4,1,1,1,5,0
16826,0.78,0.61,7,272,8,1,0,0,6,0
16827,0.2,0.11,7,299,2,1,0,1,2,0
16828,0.57,0.87,5,301,4,1,0,0,9,2
16829,0.07,0.95,1,295,4,0,1,0,7,0
16830,0.64,0.35,4,107,2,0,0,1,5,2
16831,0.76,0.6,4,130,9,0,0,1,3,0
16832,0.84,0.34,1,307,6,1,0,1,3,2
16833,0.08,0.26,4,118,7,1,0,1,5,2
16834,0.4,0.78,5,133,7,0,1,1,2,2
16835,0.12,0.77,4,221,5,1,1,1,8,1
16836,0.5,0.32,4,193,6,0,0,0,8,1
16837,0.78,0.33,1,237,3,1,1,1,7,0
16838,0.11,0.74,5,308,8,1,0,1,8,0
16839,0.64,0.86,7,266,6,1,0,1,9,2
16840,0.26,0.14,4,140,7,0,0,1,4,2
16841,0.92,0.78,4,225,8,0,1,0,7,1
16842,0.37,0.21,6,207,10,1,0,0,7,2
16843,0.55,0.02,4,249,7,1,1,1,4,0
16844,0.99,0.19,3,268,6,1,1,0,8,2
16845,0.54,0.37,7,108,9,1,1,1,2,0
16846,0.64,0.1,3,232,6,0,0,0,5,0
16847,0.49,0.49,5,266,10,1,0,1,5,2
16848,0.08,0.69,3,101,10,0,0,0,8,1
16849,0.44,0.48,7,180,3,1,1,0,5,0
16850,0.75,0.8,1,165,8,1,1,0,8,0
16851,0.5,0.69,3,144,8,0,1,0,8,1
16852,0.09,0.6,2,101,2,1,1,1,0,1
16853,0.14,0.05,7,122,2,1,0,0,6,1
16854,0.69,0.2,1,266,8,0,1,1,5,1
16855,0.53,0.93,5,137,3,1,0,1,0,2
16856,0.07,0.14,5,193,8,0,1,0,3,1
16857,0.12,0.54,3,257,10,1,1,1,0,0
16858,0.39,0.84,5,275,2,1,0,0,6,2
16859,0.29,0.18,5,130,9,1,1,0,0,1
16860,0.42,0.53,6,158,9,0,0,0,1,1
16861,0.98,0.38,7,260,2,1,1,1,0,0
16862,0.47,0.55,5,280,9,0,0,0,4,2
16863,0.25,0.7,5,96,7,1,0,1,7,0
16864,0.93,0.72,3,237,2,1,0,1,2,1
16865,0.49,0.67,6,130,6,1,0,0,1,2
16866,0.27,0.91,2,152,4,1,0,0,2,2
16867,0.36,0.59,7,205,9,1,1,1,8,2
16868,0.55,0.5,3,280,8,1,1,0,4,1
16869,0.8,0.97,3,196,10,0,0,1,6,2
16870,0.7,0.26,5,229,8,1,1,1,8,0
16871,0.72,0.96,6,177,5,0,1,0,9,2
16872,0.93,1.0,6,282,9,1,1,1,4,2
16873,0.73,0.25,7,228,9,1,1,1,8,2
16874,0.09,0.23,7,177,5,0,1,0,0,1
16875,0.55,0.75,1,158,10,0,0,0,6,0
16876,0.47,0.33,3,309,9,1,1,0,1,0
16877,0.61,0.34,6,302,4,1,0,0,4,0
16878,0.22,0.65,4,203,5,0,0,0,4,2
16879,0.96,0.51,6,297,5,1,0,0,3,2
16880,0.63,0.03,6,134,8,0,0,1,4,0
16881,0.65,0.96,5,280,8,0,0,1,3,0
16882,0.01,0.54,1,241,5,1,0,0,6,1
16883,0.48,0.87,3,254,7,0,1,0,9,0
16884,0.03,0.28,1,99,7,0,0,0,9,2
16885,0.42,0.48,4,145,6,1,0,0,2,1
16886,0.56,0.59,3,168,7,1,1,0,4,1
16887,0.37,0.97,5,302,9,1,1,1,8,0
16888,0.6,0.58,1,172,6,1,1,1,2,1
16889,0.06,0.06,6,159,4,0,1,0,7,1
16890,0.02,0.18,4,182,8,1,0,1,3,1
16891,0.08,0.95,3,179,2,1,0,1,5,0
16892,0.9,0.08,5,120,2,1,1,0,6,2
16893,0.66,0.29,3,155,10,0,1,1,3,1
16894,0.98,0.71,3,214,10,1,0,1,2,1
16895,0.61,0.81,2,132,9,0,0,0,7,1
16896,0.84,0.02,2,286,7,0,0,1,2,2
16897,0.41,0.45,6,171,2,1,0,1,5,1
16898,0.72,0.7,6,191,2,1,1,0,4,1
16899,0.7,0.92,1,267,2,0,0,1,1,1
16900,0.62,0.51,3,185,7,0,0,1,3,2
16901,0.53,0.92,7,276,5,0,0,1,7,2
16902,0.34,0.46,6,200,8,0,0,0,5,2
16903,0.21,0.6,7,229,6,0,0,0,9,0
16904,0.02,0.54,3,204,8,1,1,1,5,1
16905,0.86,0.93,4,227,3,0,1,0,3,2
16906,1.0,0.28,7,253,7,1,0,0,6,1
16907,0.21,0.01,6,117,9,1,1,0,9,2
16908,0.83,0.96,4,150,9,1,0,0,8,0
16909,0.36,0.0,4,216,10,0,1,1,0,2
16910,0.08,0.58,5,168,3,0,1,0,6,2
16911,0.51,0.07,7,139,9,1,1,0,7,1
16912,0.44,0.89,4,155,10,0,1,1,7,0
16913,0.86,0.55,3,149,7,1,1,0,8,0
16914,0.29,0.38,7,195,4,0,0,1,1,0
16915,0.46,0.39,1,146,7,1,0,0,5,0
16916,0.23,0.17,7,191,9,0,1,0,3,0
16917,0.43,0.86,5,307,2,1,0,0,8,1
16918,0.64,0.4,7,119,10,0,1,0,9,0
16919,0.71,0.67,7,117,9,0,0,1,4,1
16920,0.47,0.37,1,140,10,0,1,1,3,2
16921,0.02,0.73,2,103,8,0,1,1,1,0
16922,0.4,0.66,5,208,5,1,0,0,2,2
16923,0.6,0.18,7,207,7,1,0,1,5,1
16924,0.08,0.18,2,166,8,1,0,0,1,2
16925,0.25,0.73,4,279,2,1,0,0,0,1
16926,0.69,0.15,2,190,7,1,0,0,8,2
16927,0.79,0.56,5,152,2,0,0,1,0,0
16928,0.91,0.38,5,248,7,0,0,0,6,1
16929,0.46,0.61,7,253,5,1,0,0,3,0
16930,0.47,0.86,2,205,7,1,0,1,3,2
16931,0.16,0.05,6,149,7,1,0,1,9,1
16932,0.17,0.31,5,208,10,1,0,1,5,0
16933,0.47,0.71,7,247,5,1,1,0,5,0
16934,0.58,0.48,3,159,5,1,1,0,8,0
16935,0.8,0.24,7,206,4,1,0,0,0,2
16936,0.0,0.31,7,198,4,0,0,1,2,2
16937,0.15,0.19,5,246,6,0,1,0,6,1
16938,0.9,0.6,4,171,2,1,1,0,2,1
16939,0.36,0.1,7,178,10,0,0,0,0,2
16940,0.41,0.26,2,271,8,1,1,1,7,2
16941,0.49,0.04,7,179,9,1,0,1,0,0
16942,0.43,0.82,7,168,2,1,1,1,7,0
16943,0.43,0.0,4,130,5,1,1,1,4,2
16944,0.85,0.93,1,180,10,1,1,0,4,0
16945,0.89,0.76,1,188,5,0,1,0,6,2
16946,0.52,0.69,7,252,7,1,0,0,7,1
16947,0.25,0.96,1,274,9,0,0,0,6,0
16948,0.69,0.03,7,100,7,0,0,0,5,1
16949,0.2,0.5,5,121,2,1,0,0,5,2
16950,0.99,0.9,4,306,2,1,1,0,0,0
16951,0.73,0.68,4,288,4,1,0,1,3,2
16952,0.07,0.51,3,296,4,0,0,0,9,0
16953,0.41,0.71,2,192,5,0,0,0,1,0
16954,0.4,0.72,4,110,7,0,1,0,8,0
16955,0.14,0.25,2,273,3,0,0,0,3,2
16956,0.34,0.45,6,283,7,1,0,1,5,2
16957,0.35,0.15,2,187,3,1,0,0,2,2
16958,0.68,0.13,4,175,7,1,0,1,6,0
16959,0.66,0.31,5,141,8,1,1,0,6,2
16960,0.82,0.77,1,220,9,0,1,0,1,2
16961,0.56,0.91,7,235,10,1,0,0,2,2
16962,0.93,0.4,3,226,9,0,0,0,9,0
16963,0.8,0.63,4,105,9,0,0,1,7,1
16964,0.07,0.8,6,162,9,0,1,1,3,0
16965,0.56,0.99,5,179,6,1,0,1,1,1
16966,0.71,0.11,3,181,9,0,0,0,1,0
16967,0.23,0.58,5,290,6,1,0,1,2,2
16968,0.52,0.13,5,224,7,1,0,0,6,0
16969,0.05,0.21,6,199,8,1,0,0,6,2
16970,0.45,0.81,4,306,8,1,1,1,4,0
16971,0.66,0.94,3,211,9,1,0,0,9,0
16972,0.13,0.63,4,229,5,0,0,0,7,0
16973,0.33,0.07,7,191,2,0,0,0,4,2
16974,0.08,0.19,5,277,2,1,1,0,2,0
16975,0.34,0.17,2,278,2,0,1,1,1,1
16976,0.59,0.35,3,244,3,0,0,0,0,0
16977,0.8,0.32,5,130,10,0,1,1,5,0
16978,0.98,0.41,7,114,2,0,0,0,3,2
16979,0.84,0.36,3,251,5,0,0,0,7,1
16980,0.5,0.02,2,212,7,1,0,0,5,0
16981,0.24,0.7,2,247,10,0,1,1,8,2
16982,0.84,0.34,6,246,8,1,0,0,0,2
16983,0.3,0.21,5,103,2,0,1,1,0,0
16984,0.93,0.4,3,197,8,1,1,0,3,1
16985,0.22,0.36,5,279,9,1,0,1,7,2
16986,0.55,0.83,1,126,10,0,1,1,7,2
16987,0.79,0.71,1,109,3,1,1,1,0,1
16988,0.55,0.98,1,249,10,1,1,0,9,0
16989,0.94,0.3,4,103,5,0,1,1,1,0
16990,0.58,0.77,3,200,8,1,1,1,4,1
16991,0.38,0.64,3,116,10,0,0,1,6,1
16992,0.49,0.86,7,127,6,0,1,0,9,0
16993,0.02,0.79,6,163,7,0,1,0,4,0
16994,0.67,0.83,1,133,9,0,1,0,3,0
16995,0.61,0.94,3,133,2,0,0,0,3,2
16996,0.37,0.81,1,203,3,1,0,0,5,1
16997,0.95,0.56,7,234,7,0,0,0,9,1
16998,0.34,0.34,7,247,5,0,1,1,3,1
16999,0.98,0.67,5,150,3,0,0,0,1,2
17000,0.65,0.19,2,169,10,1,0,0,5,0
17001,0.46,0.95,2,134,3,1,0,1,7,0
17002,0.48,0.44,2,151,10,1,1,0,1,0
17003,0.58,0.9,1,274,4,0,0,1,5,1
17004,0.35,0.95,1,171,8,1,1,0,9,0
17005,0.41,0.54,5,201,8,0,1,0,0,0
17006,0.44,0.76,4,231,2,0,1,0,2,2
17007,0.06,0.65,7,167,3,0,1,1,2,0
17008,0.11,0.75,1,280,3,1,0,0,5,1
17009,0.39,0.3,3,305,9,1,1,0,3,2
17010,0.37,0.19,2,120,4,0,1,1,9,0
17011,0.99,0.58,2,301,5,0,0,1,5,2
17012,0.85,0.38,7,269,5,1,1,0,5,2
17013,0.23,0.75,3,137,2,1,1,0,1,0
17014,0.13,1.0,3,234,4,0,0,1,6,0
17015,0.85,0.44,3,112,9,1,1,0,1,2
17016,0.8,0.59,7,194,7,0,0,1,2,2
17017,0.77,0.56,1,225,7,0,0,1,9,1
17018,0.84,0.66,2,108,9,0,0,0,4,2
17019,0.2,0.53,7,121,9,1,0,0,9,0
17020,0.49,0.95,1,246,8,1,0,1,7,1
17021,0.44,0.81,5,292,10,0,0,1,8,2
17022,0.37,0.81,1,264,8,0,0,1,7,0
17023,0.32,0.73,2,139,5,0,1,1,6,2
17024,0.35,0.25,4,226,3,1,0,1,2,2
17025,0.78,0.21,3,159,2,0,0,0,0,1
17026,0.22,0.31,7,154,9,0,1,0,9,0
17027,0.07,0.96,6,247,3,1,1,0,9,0
17028,0.0,0.34,7,266,5,1,0,1,3,1
17029,0.8,0.7,5,241,7,0,1,1,0,0
17030,0.87,0.38,2,238,7,1,0,0,7,1
17031,0.44,0.28,5,139,4,0,1,1,5,0
17032,0.72,0.8,2,284,4,1,1,1,7,2
17033,0.24,0.65,5,277,10,0,0,0,3,1
17034,0.03,0.74,2,280,8,1,1,0,6,1
17035,0.78,0.33,3,217,3,0,1,1,2,0
17036,0.1,0.94,7,223,5,0,1,1,1,1
17037,0.08,0.3,7,246,9,0,0,0,7,0
17038,0.65,0.1,6,197,6,0,1,1,1,2
17039,0.96,0.7,7,220,7,1,0,0,2,0
17040,0.58,0.5,2,232,7,0,0,0,4,1
17041,0.79,0.12,5,197,10,0,1,1,7,2
17042,0.91,0.25,2,182,6,1,0,1,3,1
17043,0.66,0.22,3,238,6,1,0,0,5,1
17044,0.07,0.46,4,141,9,1,1,1,5,0
17045,0.75,0.88,1,125,5,1,0,0,6,1
17046,0.85,0.56,5,285,3,1,0,1,2,2
17047,0.99,0.26,5,146,4,0,1,0,5,1
17048,0.24,0.85,1,290,5,1,1,1,7,1
17049,0.55,0.84,7,298,8,1,1,1,6,2
17050,0.74,0.05,7,187,2,0,0,1,3,1
17051,0.5,0.71,6,204,7,1,1,0,8,0
17052,0.68,0.72,5,181,6,1,1,0,8,0
17053,0.57,0.85,4,160,8,0,0,1,4,2
17054,0.53,0.99,7,196,10,0,0,0,5,2
17055,0.98,0.14,5,110,7,0,0,1,0,2
17056,0.58,0.92,3,167,2,0,0,1,4,0
17057,0.62,0.47,3,109,8,1,1,0,7,2
17058,0.79,0.59,6,103,9,1,0,0,8,1
17059,0.22,0.45,3,115,3,1,0,1,3,2
17060,0.99,0.38,7,239,2,0,0,0,8,1
17061,0.81,0.49,5,136,9,0,0,1,9,0
17062,0.4,0.59,4,173,3,0,1,0,4,2
17063,0.62,0.94,6,196,5,0,0,1,7,1
17064,0.06,0.72,7,170,6,0,1,0,6,0
17065,0.34,0.59,4,291,8,1,0,0,9,2
17066,0.96,0.37,2,190,8,1,1,0,7,0
17067,0.35,0.38,1,97,10,0,1,0,8,2
17068,0.97,0.41,5,238,6,1,1,0,9,0
17069,0.05,0.88,2,157,8,0,0,0,5,1
17070,1.0,0.45,4,274,2,1,0,1,2,0
